"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"4753","E130012A19Rik","-6.635329e-01","-0.2170031911","-7.244683e+00"," 5.333783e-13"," 3.839832e-12"," 1.765455e+01","E130012A19Rik"
"4754","Lingo4","-6.635036e-01","-0.3842324252","-7.991711e+00"," 1.804534e-15"," 1.508585e-14"," 2.323586e+01","Lingo4"
"4755","Kndc1","-6.633748e-01"," 2.4307046642","-7.088090e+00"," 1.645067e-12"," 1.151744e-11"," 1.655356e+01","Kndc1"
"4756","Prkab2","-6.631542e-01","-0.0127001732","-6.312594e+00"," 3.097662e-10"," 1.795387e-09"," 1.145590e+01","Prkab2"
"4757","Fam174a"," 6.631346e-01"," 3.6354757005"," 3.300904e+00"," 9.736568e-04"," 1.264869e-03","-2.400960e+00","Fam174a"
"4758","Cacng4","-6.629490e-01"," 0.2732661180","-7.445065e+00"," 1.220512e-13"," 9.152083e-13"," 1.909724e+01","Cacng4"
"4759","Jak1","-6.628403e-01"," 2.7465655034","-2.844658e+00"," 4.472412e-03"," 5.573390e-03","-3.686037e+00","Jak1"
"4760","Sult1a1"," 6.626891e-01"," 0.3593979020"," 4.438647e+00"," 9.339260e-06"," 1.419977e-05"," 1.780650e+00","Sult1a1"
"4761","Cdkn2aip"," 6.624054e-01"," 0.8337690999"," 4.272328e+00"," 1.987276e-05"," 2.909763e-05"," 9.689088e-01","Cdkn2aip"
"4762","Aspscr1"," 6.622128e-01"," 2.1498238947"," 3.114331e+00"," 1.858927e-03"," 2.372820e-03","-3.037600e+00","Aspscr1"
"4763","Tmod1","-6.616009e-01"," 3.0087734535","-6.080399e+00"," 1.331301e-09"," 7.257709e-09"," 1.000569e+01","Tmod1"
"4764","Trim32","-6.615323e-01"," 1.1686340219","-4.800105e+00"," 1.653936e-06"," 2.930198e-06"," 3.248193e+00","Trim32"
"4765","Dolpp1","-6.611722e-01"," 0.6407220989","-4.798784e+00"," 1.664802e-06"," 2.945806e-06"," 3.244503e+00","Dolpp1"
"4766","B130034C11Rik","-6.610148e-01","-0.3092391646","-7.418026e+00"," 1.492529e-13"," 1.114545e-12"," 1.890541e+01","B130034C11Rik"
"4767","Spats1","-6.606980e-01","-0.2930842504","-7.411788e+00"," 1.563290e-13"," 1.165158e-12"," 1.885194e+01","Spats1"
"4768","Mast3","-6.606882e-01"," 2.4621370807","-6.043231e+00"," 1.673357e-09"," 9.026653e-09"," 9.842970e+00","Mast3"
"4769","Lpar4","-6.605351e-01","-0.2181943663","-6.575911e+00"," 5.574285e-11"," 3.451962e-10"," 1.318023e+01","Lpar4"
"4770","Usp30","-6.605275e-01"," 1.5179726509","-5.280232e+00"," 1.370923e-07"," 5.701959e-07"," 5.572953e+00","Usp30"
"4771","Rnf169"," 6.605242e-01"," 0.7762808854"," 4.349666e+00"," 1.403370e-05"," 2.089672e-05"," 1.259329e+00","Rnf169"
"4772","Med22","-6.605092e-01"," 1.2005272682","-4.288418e+00"," 1.849378e-05"," 2.717362e-05"," 9.695868e-01","Med22"
"4773","Ggnbp1","-6.602317e-01","-0.2539917350","-7.445362e+00"," 1.217816e-13"," 9.137713e-13"," 1.911791e+01","Ggnbp1"
"4774","Ikbke","-6.601498e-01","-0.3875819843","-7.987127e+00"," 1.871608e-15"," 1.562429e-14"," 2.319954e+01","Ikbke"
"4775","Rab6a"," 6.600144e-01"," 5.5981139759"," 3.231091e+00"," 1.244909e-03"," 1.607359e-03","-2.457007e+00","Rab6a"
"4776","Clptm1","-6.600015e-01"," 4.8108560147","-2.836036e+00"," 4.594659e-03"," 5.722080e-03","-3.662080e+00","Clptm1"
"4777","Traf4","-6.599186e-01"," 0.4532877128","-6.227782e+00"," 5.307573e-10"," 3.013627e-09"," 1.092690e+01","Traf4"
"4778","Ppp3ca","-6.597220e-01"," 3.8416737753","-3.202730e+00"," 1.373842e-03"," 1.768957e-03","-2.633662e+00","Ppp3ca"
"4779","Sdr39u1"," 6.595197e-01"," 0.7330673683"," 4.479959e+00"," 7.710777e-06"," 1.183899e-05"," 1.839661e+00","Sdr39u1"
"4780","Anln","-6.595028e-01"," 2.1527974824","-6.528570e+00"," 7.624250e-11"," 4.669604e-10"," 1.279144e+01","Anln"
"4781","Iqsec1","-6.594679e-01"," 2.1383830490","-4.011335e+00"," 6.167143e-05"," 8.648911e-05"," 8.992456e-02","Iqsec1"
"4782","Lmf2"," 6.594031e-01"," 1.8888124213"," 3.539641e+00"," 4.060235e-04"," 5.387819e-04","-1.732467e+00","Lmf2"
"4783","Arsa","-6.593381e-01"," 1.5518716968","-3.966187e+00"," 7.453193e-05"," 1.038722e-04","-2.079520e-01","Arsa"
"4784","Fam117a","-6.592790e-01","-0.2821866533","-7.635422e+00"," 2.903867e-14"," 2.263683e-13"," 2.051597e+01","Fam117a"
"4785","Sel1l3","-6.592239e-01","-0.1345657890","-6.753313e+00"," 1.691914e-11"," 1.094002e-10"," 1.426663e+01","Sel1l3"
"4786","BC018242","-6.592130e-01"," 0.3241192588","-5.961809e+00"," 2.748953e-09"," 1.453131e-08"," 9.325297e+00","BC018242"
"4787","Ccdc8","-6.590209e-01","-0.2655020112","-6.978506e+00"," 3.568982e-12"," 2.438961e-11"," 1.584308e+01","Ccdc8"
"4788","1110032A03Rik","-6.584610e-01"," 1.3194847142","-4.305801e+00"," 1.710669e-05"," 2.522090e-05"," 1.075692e+00","1110032A03Rik"
"4789","Gart","-6.583694e-01"," 0.9296684644","-4.681202e+00"," 2.963022e-06"," 4.882735e-06"," 2.657185e+00","Gart"
"4790","Pex6","-6.582683e-01"," 1.3619701715","-3.824442e+00"," 1.334130e-04"," 1.824491e-04","-7.729745e-01","Pex6"
