"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"8740","Abcb7"," 5.184223e-01"," 0.1994208241"," 2.941255e+00"," 3.290846e-03"," 5.033859e-03"," -3.608738765","Abcb7"
"8741","Slc15a4"," 5.182448e-01"," 1.8485895051"," 2.807611e+00"," 5.019418e-03"," 7.223556e-03"," -4.015264575","Slc15a4"
"8742","Zgpat"," 5.182222e-01"," 0.5559634512"," 2.503745e+00"," 1.233503e-02"," 1.626417e-02"," -4.725964122","Zgpat"
"8743","Trip6","-5.182049e-01","-0.0080892941","-3.868716e+00"," 1.114547e-04"," 3.292220e-04"," -0.619218675","Trip6"
"8744","Mob3b"," 5.181068e-01"," 1.4390386486"," 2.903832e+00"," 3.709930e-03"," 5.550683e-03"," -3.710012685","Mob3b"
"8745","Sidt2"," 5.178668e-01"," 2.0758373209"," 2.320228e+00"," 2.038729e-02"," 2.590475e-02"," -5.017289320","Sidt2"
"8746","Aatk"," 5.177159e-01"," 2.8906429629"," 3.032288e+00"," 2.445336e-03"," 4.650977e-03"," -3.237687447","Aatk"
"8747","Slc14a2","-5.175141e-01","-0.3958211639","-4.989445e+00"," 6.358049e-07"," 2.365570e-06","  4.273859447","Slc14a2"
"8748","Gm16617","-5.174633e-01","-0.2877434382","-4.494296e+00"," 7.211980e-06"," 2.409099e-05","  1.976706383","Gm16617"
"8749","Chst10","-5.174208e-01"," 0.3334366555","-2.637316e+00"," 8.394414e-03"," 1.146842e-02"," -4.203322624","Chst10"
"8750","Glmn"," 5.172806e-01","-0.0433267444"," 3.504081e+00"," 4.640786e-04"," 1.271455e-03"," -1.869266799","Glmn"
"8751","BC006965","-5.171673e-01","-0.3853630877","-4.909734e+00"," 9.547998e-07"," 3.487192e-06","  3.890942446","BC006965"
"8752","A430105I19Rik","-5.169151e-01","-0.0391365744","-3.837311e+00"," 1.266425e-04"," 3.710908e-04"," -0.753243206","A430105I19Rik"
"8753","St8sia2"," 5.167093e-01","-0.3446108959"," 4.434752e+00"," 9.508687e-06"," 3.142252e-05","  1.758298967","St8sia2"
"8754","Atp1b3"," 5.162885e-01"," 6.9144338073"," 2.093074e+00"," 3.641627e-02"," 4.452376e-02"," -5.244243618","Atp1b3"
"8755","Spag8","-5.162404e-01","-0.3889452674","-4.950711e+00"," 7.752822e-07"," 2.856925e-06","  4.087267090","Spag8"
"8756","Lzic"," 5.161859e-01"," 0.7329522817"," 2.801750e+00"," 5.111291e-03"," 7.336327e-03"," -4.006529251","Lzic"
"8757","Copb1"," 5.161038e-01"," 2.8849993853"," 1.790766e+00"," 7.341956e-02"," 8.631550e-02"," -5.906104123","Copb1"
"8758","Rps6ka3"," 5.159976e-01","-0.0505993103"," 3.840062e+00"," 1.252379e-04"," 3.672965e-04"," -0.713888453","Rps6ka3"
"8759","AW011738","-5.159438e-01","-0.1019790457","-3.961736e+00"," 7.592899e-05"," 2.286652e-04"," -0.249278762","AW011738"
"8760","St6gal2"," 5.154937e-01","-0.3460903013"," 4.469110e+00"," 8.109945e-06"," 2.696373e-05","  1.883725564","St6gal2"
"8761","Man2a1"," 5.154453e-01","-0.0172881804"," 3.664625e+00"," 2.514709e-04"," 7.110797e-04"," -1.338474300","Man2a1"
"8762","Slc25a47","-5.152623e-01","-0.2425408737","-3.958220e+00"," 7.704988e-05"," 2.318918e-04"," -0.286837882","Slc25a47"
"8763","Mir682"," 5.151783e-01"," 1.3979299736"," 3.850565e+00"," 1.200086e-04"," 3.526665e-04"," -0.419087150","Mir682"
"8764","Stk38l","-5.149047e-01"," 1.1247302945","-2.447253e+00"," 1.444507e-02"," 1.882600e-02"," -4.797634586","Stk38l"
"8765","Plk1"," 5.147839e-01","-0.3316683232"," 4.305049e+00"," 1.716457e-05"," 5.529520e-05","  1.210082572","Plk1"
"8766","Gstt2","-5.143837e-01"," 0.0535360848","-3.969051e+00"," 7.364595e-05"," 2.220751e-04"," -0.249423988","Gstt2"
"8767","Rbpj"," 5.143662e-01"," 0.6912773808"," 2.948595e+00"," 3.213898e-03"," 4.950568e-03"," -3.561269450","Rbpj"
"8768","Nrm"," 5.143315e-01"," 0.0730593911"," 3.425928e+00"," 6.199438e-04"," 1.667104e-03"," -2.187747319","Nrm"
"8769","4930570G19Rik"," 5.142244e-01","-0.2252660811"," 4.016148e+00"," 6.043201e-05"," 1.840051e-04","  0.055659303","4930570G19Rik"
"8770","Krcc1","-5.141910e-01"," 1.6713522920","-2.744186e+00"," 6.097861e-03"," 8.599614e-03"," -4.145763195","Krcc1"
"8771","Plxnc1"," 5.141326e-01","-0.1279451464"," 3.447421e+00"," 5.728124e-04"," 1.549251e-03"," -1.993843086","Plxnc1"
"8772","Txnip","-5.138260e-01"," 1.7340028326","-2.815766e+00"," 4.894058e-03"," 7.066949e-03"," -3.934455943","Txnip"
"8773","BC037034"," 5.136758e-01","-0.1527580780"," 4.017418e+00"," 6.010891e-05"," 1.830451e-04","  0.048055806","BC037034"
"8774","Myl9","-5.136263e-01"," 0.6841334275","-3.306302e+00"," 9.551501e-04"," 2.487445e-03"," -2.546949622","Myl9"
"8775","Tmem106b"," 5.136018e-01"," 2.5943577748"," 1.997161e+00"," 4.588705e-02"," 5.536072e-02"," -5.573283402","Tmem106b"
"8776","A830080D01Rik"," 5.135750e-01"," 0.2109281949"," 3.098208e+00"," 1.962800e-03"," 4.650977e-03"," -3.214768968","A830080D01Rik"
"8777","ERCC-00071","-5.133459e-01"," 0.4182120130","-2.778555e+00"," 5.490012e-03"," 7.823844e-03"," -4.141703086","ERCC-00071"
"8778","4930453N24Rik"," 5.133279e-01"," 0.8164749320"," 2.460824e+00"," 1.391105e-02"," 1.817214e-02"," -4.836638712","4930453N24Rik"
"8779","Gpc4","-5.132172e-01","-0.0645410055","-3.806193e+00"," 1.436014e-04"," 4.185860e-04"," -0.805421001","Gpc4"
"8780","Dnahc1"," 5.132035e-01","-0.3439306811"," 4.403130e+00"," 1.099750e-05"," 3.611834e-05","  1.614844762","Dnahc1"
"8781","1700001C02Rik","-5.131820e-01","-0.4025461458","-5.007860e+00"," 5.783055e-07"," 2.163729e-06","  4.363488908","1700001C02Rik"
"8782","Plekhf2","-5.131381e-01"," 0.3600767736","-3.128012e+00"," 1.774774e-03"," 4.338716e-03"," -3.068814960","Plekhf2"
"8783","Iapp","-5.130859e-01","-0.1873838062","-4.422660e+00"," 1.005372e-05"," 3.314419e-05","  1.639999907","Iapp"
"8784","1700017B05Rik","-5.129772e-01","-0.1703809740","-3.920181e+00"," 9.022132e-05"," 2.691136e-04"," -0.421181660","1700017B05Rik"
"8785","A730017L22Rik"," 5.128968e-01","-0.1039415725"," 3.765545e+00"," 1.689894e-04"," 4.885784e-04"," -0.961736898","A730017L22Rik"
"8786","Glb1l","-5.128928e-01","-0.2676161497","-4.274363e+00"," 1.969312e-05"," 6.305944e-05","  1.019066909","Glb1l"
"8787","2610203C20Rik","-5.125251e-01"," 0.1968497675","-2.728684e+00"," 6.391360e-03"," 8.963357e-03"," -4.080217890","2610203C20Rik"
"8788","Fastkd3"," 5.124317e-01","-0.1083742672"," 3.351170e+00"," 8.134691e-04"," 2.147591e-03"," -2.417029021","Fastkd3"
"8789","Acvr1"," 5.120963e-01"," 0.1630027682"," 3.091700e+00"," 2.006216e-03"," 4.650977e-03"," -3.178075372","Acvr1"
"8790","Mars"," 5.120748e-01"," 1.4648858097"," 2.170586e+00"," 3.003128e-02"," 3.713298e-02"," -5.390623869","Mars"
"8791","Gm684","-5.120150e-01","-0.2429994800","-4.450025e+00"," 8.860592e-06"," 2.936779e-05","  1.743715836","Gm684"
"8792","Trim12c","-5.120098e-01"," 0.0829404533","-4.114891e+00"," 3.965223e-05"," 1.228899e-04","  0.330369261","Trim12c"
"8793","Ift140"," 5.118928e-01"," 0.0208053705"," 3.323774e+00"," 8.974589e-04"," 2.346592e-03"," -2.478686006","Ift140"
"8794","A430005L14Rik"," 5.117247e-01"," 0.9016383333"," 2.541875e+00"," 1.106984e-02"," 1.472860e-02"," -4.664698898","A430005L14Rik"
"8795","Brca2"," 5.114692e-01","-0.1330997508"," 3.522628e+00"," 4.328962e-04"," 1.191316e-03"," -1.795774015","Brca2"
"8796","Acss3","-5.112216e-01","-0.3939619375","-4.978471e+00"," 6.726520e-07"," 2.496793e-06","  4.223726279","Acss3"
"8797","Vrk3"," 5.106850e-01"," 1.0731398571"," 2.218164e+00"," 2.660928e-02"," 3.316853e-02"," -5.335038880","Vrk3"
"8798","Lgals3","-5.106488e-01","-0.0931591887","-4.029348e+00"," 5.715218e-05"," 1.743811e-04","  0.020982440","Lgals3"
"8799","Cry2"," 5.104358e-01"," 1.2322517946"," 1.835800e+00"," 6.647426e-02"," 7.860380e-02"," -5.841766320","Cry2"
"8800","1810049H13Rik"," 5.101037e-01"," 0.1278807016"," 2.857272e+00"," 4.298872e-03"," 6.295179e-03"," -3.844133831","1810049H13Rik"
"8801","3110082I17Rik"," 5.097809e-01","-0.0184610725"," 3.483681e+00"," 5.007911e-04"," 1.364860e-03"," -1.977771271","3110082I17Rik"
"8802","Zfp420"," 5.097015e-01"," 0.0403858122"," 3.339406e+00"," 8.485975e-04"," 2.230281e-03"," -2.427238553","Zfp420"
