"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"3279","Fbxo17","-0.7932760889","-0.3396180756","-3.433231e+00","6.035395e-04","4.886239e-03","-1.239439e+00","Fbxo17"
"3280","Fam193b","-0.7931528602"," 0.2035199980","-2.586405e+00","9.739338e-03","1.693669e-02","-3.697830e+00","Fam193b"
"3281","Vat1"," 0.7930867383"," 1.0721597288"," 1.987068e+00","4.699473e-02","7.181138e-02","-4.704654e+00","Vat1"
"3282","Pcdhga7","-0.7930722902"," 0.0152587032","-2.583643e+00","9.817520e-03","1.705619e-02","-3.692781e+00","Pcdhga7"
"3283","Degs2","-0.7930270233"," 1.2990167372","-3.221888e+00","1.285469e-03","4.886239e-03","-1.930416e+00","Degs2"
"3284","2810008D09Rik","-0.7929896537"," 1.0095990895","-1.814850e+00","6.963476e-02","1.027228e-01","-5.080250e+00","2810008D09Rik"
"3285","Dio3os","-0.7929115903","-0.4183441679","-3.841250e+00","1.246357e-04","3.364732e-03"," 2.291416e-01","Dio3os"
"3286","Mgrn1"," 0.7927987570"," 3.1023816161"," 1.313715e+00","1.890304e-01","2.508664e-01","-5.568148e+00","Mgrn1"
"3287","4933408B17Rik","-0.7927366469","-0.3570423041","-3.668119e+00","2.480741e-04","4.886239e-03","-4.144875e-01","4933408B17Rik"
"3288","Hexdc","-0.7925768456"," 0.2143891426","-2.521065e+00","1.174525e-02","2.007486e-02","-3.833481e+00","Hexdc"
