"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"6732","Gm11696","-4.358396e-01","-0.3340396383"," -5.750289448"," 9.693599e-09"," 4.652808e-08"," 7.951891e+00","Gm11696"
"6733","Pawr","-4.358136e-01","-0.1104668102"," -5.188515448"," 2.243481e-07"," 8.704528e-07"," 4.926288e+00","Pawr"
"6734","ERCC-00096","-4.358058e-01","12.1421611067"," -5.280858710"," 1.366282e-07"," 5.541031e-07"," 6.338679e+00","ERCC-00096"
"6735","2810002N01Rik"," 4.356781e-01"," 1.5310471867","  3.067489022"," 2.175595e-03"," 2.725513e-03","-3.478769e+00","2810002N01Rik"
"6736","Mycbpap","-4.355431e-01","-0.3723671709"," -5.941465566"," 3.108885e-09"," 1.575487e-08"," 9.059086e+00","Mycbpap"
"6737","Fbxl13","-4.355266e-01","-0.4175139122"," -6.249077835"," 4.639297e-10"," 2.549546e-09"," 1.090983e+01","Fbxl13"
"6738","Xkrx","-4.354279e-01","-0.4080457821"," -6.215601148"," 5.731150e-10"," 3.126846e-09"," 1.069744e+01","Xkrx"
"6739","Mafb","-4.353303e-01"," 0.0057751896"," -4.663085571"," 3.234502e-06"," 5.243324e-06"," 2.356522e+00","Mafb"
"6740","St3gal6","-4.352091e-01"," 1.5554238243"," -4.429964547"," 9.721015e-06"," 1.465092e-05"," 1.337780e+00","St3gal6"
"6741","Zbtb46","-4.352005e-01","-0.0281615239"," -5.020284293"," 5.423817e-07"," 1.871816e-06"," 4.051557e+00","Zbtb46"
"6742","Casc1","-4.351732e-01","-0.3938754492"," -6.025751334"," 1.862511e-09"," 9.636613e-09"," 9.558332e+00","Casc1"
"6743","A330021E22Rik","-4.350992e-01","-0.3453510554"," -6.033158635"," 1.779939e-09"," 9.231806e-09"," 9.599884e+00","A330021E22Rik"
"6744","Gm221","-4.350959e-01","-0.4154929112"," -6.202438092"," 6.225979e-10"," 3.384212e-09"," 1.062171e+01","Gm221"
"6745","Alox8","-4.350653e-01","-0.4147508300"," -6.169733883"," 7.642917e-10"," 4.115268e-09"," 1.041764e+01","Alox8"
"6746","Vtn","-4.350432e-01"," 0.1169015529"," -4.477164430"," 7.811749e-06"," 1.190277e-05"," 1.497350e+00","Vtn"
"6747","Slc45a4","-4.350339e-01","-0.1769127812"," -5.096956543"," 3.639298e-07"," 1.333120e-06"," 4.451689e+00","Slc45a4"
"6748","Hist1h4j","-4.349822e-01","-0.3815504178"," -5.890213653"," 4.231355e-09"," 2.104273e-08"," 8.758353e+00","Hist1h4j"
"6749","Slc25a17"," 4.349664e-01"," 1.8713343952","  2.481414274"," 1.313405e-02"," 1.564819e-02","-5.001322e+00","Slc25a17"
"6750","Gm5577","-4.349537e-01","-0.3291882268"," -5.653265194"," 1.703712e-08"," 7.967090e-08"," 7.403341e+00","Gm5577"
"6751","Zfp457","-4.349061e-01","-0.4068930398"," -5.999273209"," 2.189336e-09"," 1.124566e-08"," 9.392059e+00","Zfp457"
"6752","Usp8"," 4.348713e-01"," 1.5317215857","  2.846150088"," 4.451557e-03"," 5.470023e-03","-4.110446e+00","Usp8"
"6753","Bmyc","-4.348231e-01"," 2.9323230498"," -2.116182551"," 3.440155e-02"," 3.986211e-02","-5.565571e+00","Bmyc"
"6754","Ecm1","-4.348083e-01"," 0.9289839902"," -4.807965573"," 1.590648e-06"," 2.832560e-06"," 3.041684e+00","Ecm1"
"6755","6430531B16Rik","-4.348079e-01","-0.4029065685"," -6.156481442"," 8.302710e-10"," 4.453133e-09"," 1.033969e+01","6430531B16Rik"
"6756","Mocs2","-4.347441e-01"," 2.2811000900"," -2.238410966"," 2.525854e-02"," 2.952184e-02","-5.431560e+00","Mocs2"
"6757","Fgd3"," 4.344963e-01","-0.1196992951","  4.860448136"," 1.224031e-06"," 2.324369e-06"," 3.291176e+00","Fgd3"
"6758","Galm","-4.343812e-01","-0.3576753727"," -5.773235505"," 8.472253e-09"," 4.090035e-08"," 8.081893e+00","Galm"
"6759","Bivm","-4.343785e-01","-0.0835702291"," -4.735240750"," 2.277052e-06"," 3.842863e-06"," 2.708907e+00","Bivm"
"6760","Ctnna3"," 4.343289e-01"," 0.0114633697","  4.786580812"," 1.768528e-06"," 3.098525e-06"," 2.941790e+00","Ctnna3"
"6761","Zfand2b"," 4.342985e-01"," 0.9472641641","  3.182494802"," 1.473244e-03"," 1.864068e-03","-3.266204e+00","Zfand2b"
"6762","Edem3","-4.342918e-01"," 0.3078147885"," -3.753897454"," 1.770083e-04"," 2.377528e-04","-1.331382e+00","Edem3"
"6763","Gm15417","-4.342429e-01"," 0.2949283301"," -3.923791405"," 8.888510e-05"," 1.219893e-04","-5.965783e-01","Gm15417"
"6764","Gm1604b","-4.341857e-01","-0.3521040236"," -5.818741944"," 6.476946e-09"," 3.160647e-08"," 8.339213e+00","Gm1604b"
"6765","Gm14420","-4.339990e-01"," 0.0797390932"," -4.106489843"," 4.111431e-05"," 5.791941e-05"," 1.245352e-02","Gm14420"
"6766","Gm101","-4.339799e-01","-0.4211738257"," -6.256836062"," 4.416868e-10"," 2.432443e-09"," 1.095663e+01","Gm101"
"6767","Cacna1s","-4.339284e-01","-0.4177585616"," -6.137549076"," 9.342610e-10"," 4.986911e-09"," 1.022554e+01","Cacna1s"
"6768","Atg2a","-4.337388e-01"," 0.2358803072"," -3.741077457"," 1.862481e-04"," 2.496340e-04","-1.384764e+00","Atg2a"
"6769","Slc35f3","-4.337272e-01","-0.1828683291"," -5.308527352"," 1.175774e-07"," 4.837063e-07"," 5.528047e+00","Slc35f3"
"6770","Lrrc27","-4.337050e-01","-0.3414146335"," -5.586832477"," 2.493780e-08"," 1.140452e-07"," 7.035827e+00","Lrrc27"
"6771","Rps6ka4"," 4.336806e-01"," 0.6804407863","  3.467770110"," 5.312867e-04"," 6.911860e-04","-2.385454e+00","Rps6ka4"
"6772","Mll3","-4.336776e-01"," 2.8186598525"," -2.266865804"," 2.346078e-02"," 2.747683e-02","-5.263173e+00","Mll3"
"6773","Htra2","-4.335786e-01"," 0.1867010159"," -3.885502971"," 1.040582e-04"," 1.419653e-04","-8.652296e-01","Htra2"
"6774","Flt1","-4.335336e-01"," 2.0145654961"," -5.932457317"," 3.282564e-09"," 1.659554e-08"," 9.004815e+00","Flt1"
"6775","C3","-4.334438e-01","-0.2814994678"," -5.486677795"," 4.394248e-08"," 1.945040e-07"," 6.507926e+00","C3"
"6776","Hist1h2ad","-4.334423e-01","-0.3704168185"," -6.021144841"," 1.915732e-09"," 9.905418e-09"," 9.527304e+00","Hist1h2ad"
"6777","Ccdc67","-4.334247e-01","-0.3980752993"," -6.117004767"," 1.061485e-09"," 5.633923e-09"," 1.010037e+01","Ccdc67"
"6778","Dgkz"," 4.334096e-01"," 1.0926309469","  3.674706312"," 2.417851e-04"," 3.214063e-04","-1.588481e+00","Dgkz"
"6779","A430105I19Rik","-4.334038e-01","-0.0391365744"," -4.574973771"," 4.932384e-06"," 7.749283e-06"," 1.971764e+00","A430105I19Rik"
"6780","Mfap5","-4.333484e-01","-0.3401823224"," -5.864101556"," 4.946205e-09"," 2.445241e-08"," 8.609799e+00","Mfap5"
"6781","Pdcl3"," 4.333099e-01"," 1.5959859592","  3.349854755"," 8.173278e-04"," 1.050312e-03","-2.706078e+00","Pdcl3"
"6782","5430417L22Rik"," 4.332762e-01"," 1.4673998341","  3.029659198"," 2.466658e-03"," 3.078134e-03","-3.672288e+00","5430417L22Rik"
"6783","Stx17"," 4.332537e-01"," 0.8356207784","  3.224295818"," 1.274740e-03"," 1.618848e-03","-3.112953e+00","Stx17"
"6784","Gm3219","-4.332407e-01","-0.2651439262"," -6.028436073"," 1.832161e-09"," 9.487960e-09"," 9.590374e+00","Gm3219"
"6785","Pi4ka","-4.332230e-01"," 1.5931880541"," -2.771246698"," 5.614489e-03"," 6.854450e-03","-4.229761e+00","Pi4ka"
"6786","Adamts16","-4.332202e-01","-0.4033094242"," -6.128551577"," 9.880347e-10"," 5.257179e-09"," 1.016988e+01","Adamts16"
"6787","Gda","-4.331583e-01","-0.1849049455"," -5.204073483"," 2.064809e-07"," 8.095144e-07"," 4.989956e+00","Gda"
"6788","Olfr288","-4.330977e-01","-0.4161090086"," -6.227395291"," 5.320542e-10"," 2.913677e-09"," 1.077375e+01","Olfr288"
"6789","Zfp385b","-4.330246e-01","-0.0374407191"," -5.691776257"," 1.363478e-08"," 6.437716e-08"," 7.615019e+00","Zfp385b"
"6790","Srrm4","-4.329905e-01","-0.3089700247"," -6.131634619"," 9.692773e-10"," 5.163236e-09"," 1.018515e+01","Srrm4"
"6791","Myl4","-4.328663e-01","-0.1662272327"," -5.284727778"," 1.337949e-07"," 5.444028e-07"," 5.408597e+00","Myl4"
"6792","Zfp524"," 4.328522e-01"," 0.4263036785","  3.612804971"," 3.072717e-04"," 4.056735e-04","-1.896238e+00","Zfp524"
"6793","Fam19a1","-4.327783e-01","-0.1861469397"," -5.678465146"," 1.472846e-08"," 6.923411e-08"," 7.537234e+00","Fam19a1"
"6794","Sh2d5","-4.327728e-01","-0.1740568101"," -5.585403558"," 2.514185e-08"," 1.148662e-07"," 7.019988e+00","Sh2d5"
"6795","Fam188b","-4.327526e-01","-0.1855983388"," -4.811507168"," 1.562901e-06"," 2.794404e-06"," 3.050221e+00","Fam188b"
"6796","Slc9a7","-4.325980e-01","-0.2609338251"," -5.510125051"," 3.851736e-08"," 1.717926e-07"," 6.611648e+00","Slc9a7"
"6797","ERCC-00046","-4.325897e-01"," 8.2586276511"," -4.280940928"," 1.912286e-05"," 2.787943e-05"," 1.506311e+00","ERCC-00046"
"6798","Tiprl"," 4.324203e-01"," 1.8145076591","  2.679105130"," 7.417364e-03"," 8.980629e-03","-4.554257e+00","Tiprl"
"6799","Sigmar1","-4.323492e-01"," 0.7203344941"," -3.371114199"," 7.569796e-04"," 9.746856e-04","-2.602064e+00","Sigmar1"
