"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"21866","Snx21"," 1.181389e-01"," 0.9561346297"," 4.984871e-01"," 6.181729e-01"," 6.535369e-01"," -7.604757022","Snx21"
"21867","Mettl6"," 1.181099e-01"," 0.2745043838"," 5.849429e-01"," 5.586248e-01"," 5.969346e-01"," -7.656595304","Mettl6"
"21868","Xrcc4"," 1.180201e-01"," 0.4662054731"," 5.411363e-01"," 5.884490e-01"," 6.251586e-01"," -7.660660924","Xrcc4"
"21869","Rere"," 1.178855e-01"," 1.4745125946"," 4.676574e-01"," 6.400595e-01"," 6.745756e-01"," -7.437292761","Rere"
"21870","Orai3","-1.178595e-01"," 0.6221048456","-4.714363e-01"," 6.373594e-01"," 6.719414e-01"," -7.565830921","Orai3"
"21871","Cdkn1a","-1.178083e-01"," 2.9701973267","-6.177458e-01"," 5.367842e-01"," 5.762800e-01"," -7.638618317","Cdkn1a"
"21872","Gtpbp6","-1.176498e-01"," 0.3067729501","-7.149049e-01"," 4.747167e-01"," 5.151687e-01"," -7.683717659","Gtpbp6"
"21873","Chic1","-1.174707e-01"," 0.3575398234","-6.216370e-01"," 5.342221e-01"," 5.738221e-01"," -7.608735708","Chic1"
"21874","Tubgcp3","-1.174605e-01"," 0.2409667405","-6.128446e-01"," 5.400199e-01"," 5.794884e-01"," -7.671200402","Tubgcp3"
"21875","Nudt16","-1.174479e-01"," 0.5878923148","-5.631758e-01"," 5.733522e-01"," 6.109205e-01"," -7.701092330","Nudt16"
"21876","Dusp14","-1.174003e-01"," 0.0327555035","-7.593697e-01"," 4.476839e-01"," 4.882227e-01"," -7.662041168","Dusp14"
"21877","Lrch3","-1.173679e-01"," 0.7379418850","-5.226892e-01"," 6.012245e-01"," 6.372577e-01"," -7.555533725","Lrch3"
"21878","Ccnc"," 1.172954e-01"," 0.8233477889"," 4.977849e-01"," 6.186677e-01"," 6.540010e-01"," -7.539176763","Ccnc"
"21879","Lman1","-1.172795e-01"," 1.4581113450","-3.659093e-01"," 7.144555e-01"," 7.444455e-01"," -7.308577578","Lman1"
"21880","Egln2","-1.172315e-01"," 1.7897937273","-4.426563e-01"," 6.580424e-01"," 6.919203e-01"," -7.546160624","Egln2"
"21881","Mrps30","-1.170562e-01"," 0.8115560220","-5.056137e-01"," 6.131605e-01"," 6.488128e-01"," -7.624217067","Mrps30"
"21882","AI118078"," 1.170487e-01","-0.3583279903"," 9.379837e-01"," 3.483192e-01"," 3.883231e-01"," -7.507576893","AI118078"
"21883","Gm15663","-1.169751e-01","-0.0361816639","-7.684030e-01"," 4.423010e-01"," 4.829205e-01"," -7.708317305","Gm15663"
"21884","Ski","-1.168625e-01"," 1.1801124331","-5.387739e-01"," 5.900781e-01"," 6.266053e-01"," -7.609806419","Ski"
"21885","Dbt","-1.167013e-01"," 0.8531451519","-4.615740e-01"," 6.444163e-01"," 6.787705e-01"," -7.416983285","Dbt"
"21886","Coasy"," 1.166877e-01"," 1.2337337341"," 4.444259e-01"," 6.567629e-01"," 6.906887e-01"," -7.551374132","Coasy"
"21887","Cables2","-1.166774e-01"," 0.1248127547","-7.035667e-01"," 4.817507e-01"," 5.220766e-01"," -7.698064373","Cables2"
"21888","Gtpbp5"," 1.165656e-01"," 0.6017344851"," 4.923915e-01"," 6.224743e-01"," 6.574911e-01"," -7.604779211","Gtpbp5"
"21889","D430041D05Rik"," 1.165190e-01","-0.0720435310"," 8.628227e-01"," 3.882956e-01"," 4.288510e-01"," -7.588761057","D430041D05Rik"
"21890","Fam196b"," 1.164889e-01","-0.3911932623"," 9.756360e-01"," 3.293140e-01"," 3.689961e-01"," -7.507074776","Fam196b"
"21891","Ppp1r26","-1.164733e-01","-0.2553794233","-8.330489e-01"," 4.048755e-01"," 4.455874e-01"," -7.594421961","Ppp1r26"
"21892","Chchd2"," 1.163984e-01"," 7.4280015270"," 5.430456e-01"," 5.871339e-01"," 6.239371e-01"," -7.037034021","Chchd2"
"21893","Zfp518b","-1.160691e-01","-0.2529019133","-8.537665e-01"," 3.932943e-01"," 4.337789e-01"," -7.626709328","Zfp518b"
"21894","Irx3","-1.159964e-01","-0.3059057049","-9.209229e-01"," 3.571558e-01"," 3.975694e-01"," -7.579749398","Irx3"
"21895","Wiz"," 1.159499e-01"," 0.4556559048"," 6.633480e-01"," 5.071525e-01"," 5.471000e-01"," -7.646312681","Wiz"
"21896","Zfp330"," 1.158403e-01"," 0.8177134274"," 4.696942e-01"," 6.386035e-01"," 6.731320e-01"," -7.564422452","Zfp330"
"21897","Cdk12"," 1.158349e-01"," 1.2036900003"," 5.225554e-01"," 6.013176e-01"," 6.373276e-01"," -7.457549364","Cdk12"
"21898","2610306M01Rik","-1.158206e-01"," 0.2485521455","-6.098940e-01"," 5.419727e-01"," 5.813689e-01"," -7.681935744","2610306M01Rik"
"21899","Zfp691","-1.158100e-01","-0.0651097015","-8.483899e-01"," 3.962804e-01"," 4.366818e-01"," -7.596002724","Zfp691"
"21900","Dync1i1"," 1.158059e-01"," 0.3803039885"," 6.928987e-01"," 4.884203e-01"," 5.287910e-01"," -7.684443842","Dync1i1"
"21901","C87436","-1.157072e-01"," 0.7035079572","-5.193992e-01"," 6.035161e-01"," 6.393685e-01"," -7.633514567","C87436"
"21902","Ppp3cc"," 1.156303e-01"," 0.7470793011"," 5.423990e-01"," 5.875791e-01"," 6.242912e-01"," -7.629128465","Ppp3cc"
"21903","A930013F10Rik","-1.155645e-01"," 0.2870745409","-6.239859e-01"," 5.326786e-01"," 5.722918e-01"," -7.657795678","A930013F10Rik"
"21904","Myst1","-1.155328e-01"," 0.7674716805","-4.906100e-01"," 6.237339e-01"," 6.587325e-01"," -7.632020769","Myst1"
"21905","Fam160a2","-1.155272e-01"," 0.5015494000","-5.908870e-01"," 5.546353e-01"," 5.932430e-01"," -7.637806084","Fam160a2"
"21906","Slc2a4rg-ps","-1.154627e-01","-0.1903640627","-7.599696e-01"," 4.473253e-01"," 4.879060e-01"," -7.648080065","Slc2a4rg-ps"
"21907","Prdx3"," 1.154266e-01"," 2.7151734924"," 3.335943e-01"," 7.387062e-01"," 7.672918e-01"," -7.298000749","Prdx3"
"21908","Commd5"," 1.153998e-01"," 0.8127355135"," 5.149458e-01"," 6.066242e-01"," 6.424290e-01"," -7.658772030","Commd5"
